序号,所在小区,网站链接,总价,建筑时间,区域,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1371,麓谷星辰 ,https://cs.lianjia.com/ershoufang/104108658316.html,2016年建/板塔结合,岳麓,66万,12248元/平米,2室1厅1厨1卫,高楼层 (共30层),53.89㎡,平层,42.68㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-15,商品房,2017-10-01,普通住宅,暂无数据,非共有,有抵押 15万元 15 客户偿还,已上传房本照片,1145833870421446
1372,一品东庭 ,https://cs.lianjia.com/ershoufang/104108656718.html,2007年建/板楼,雨花,95万,10789元/平米,2室2厅1厨1卫,高楼层 (共18层),88.06㎡,平层,69.52㎡,板楼,南 北,钢混结构,精装,一梯两户,有,2022-05-15,商品房,2016-05-18,普通住宅,满五年,非共有,有抵押 20万元 业主自还,已上传房本照片,1151109500411845
1373,长城雅苑 ,https://cs.lianjia.com/ershoufang/104108644098.html,2014年建/板塔结合,天心,65万,11949元/平米,1室2厅1厨1卫,高楼层 (共30层),54.4㎡,平层,38.94㎡,板塔结合,南 北,钢混结构,精装,两梯三户,有,2022-05-12,商品房,2017-03-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,1150009730480252
1374,园康星都荟 ,https://cs.lianjia.com/ershoufang/104108616398.html,2013年建/板楼,雨花,85万,11358元/平米,2室2厅1厨1卫,高楼层 (共31层),74.84㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,2022-05-07,商品房,2015-05-10,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,1141863550431128
1375,鑫远湘府华城南区 ,https://cs.lianjia.com/ershoufang/104108665077.html,未知年建/板塔结合,天心,93.8万,11650元/平米,2室2厅1厨1卫,低楼层 (共27层),80.52㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2022-05-16,商品房,2012-09-13,普通住宅,满五年,共有,无抵押,已上传房本照片,1152806820400812
1376,欧莱雅郡 ,https://cs.lianjia.com/ershoufang/104108698951.html,2015年建/板塔结合,雨花,93万,11306元/平米,3室2厅1厨1卫,高楼层 (共31层),82.26㎡,平层,62.92㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-21,商品房,2017-05-04,普通住宅,满五年,非共有,有抵押 20万元 建设银行 客户偿还,已上传房本照片,1154856510453328
1377,珠江花城四期 ,https://cs.lianjia.com/ershoufang/104108680838.html,2012年建/板塔结合,开福,92万,11973元/平米,2室2厅1厨1卫,低楼层 (共18层),76.84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-18,商品房,2016-10-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1152598810461032
1378,麓谷明珠 ,https://cs.lianjia.com/ershoufang/104108637012.html,2012年建/板塔结合,岳麓,105万,11930元/平米,2室2厅1厨1卫,高楼层 (共17层),88.02㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,2022-05-11,商品房,2017-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1151734720472370
1379,金麓小区 ,https://cs.lianjia.com/ershoufang/104108693132.html,未知年建/板楼,岳麓,73.8万,9112元/平米,2室2厅1厨1卫,中楼层 (共18层),81㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯六户,有,2022-05-20,商品房,2019-05-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,1153661960411759
1380,都市兰亭汇峰苑 ,https://cs.lianjia.com/ershoufang/104108653748.html,2013年建/塔楼,雨花,78.8万,12309元/平米,2室2厅1厨1卫,中楼层 (共32层),64.02㎡,平层,49.49㎡,塔楼,南 北,钢混结构,精装,三梯六户,有,2022-05-14,商品房,2014-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1150078870490415
1381,木莲花苑 ,https://cs.lianjia.com/ershoufang/104108646656.html,2008年建/塔楼,雨花,90万,9482元/平米,3室2厅1厨1卫,中楼层 (共17层),94.92㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-13,商品房,2017-05-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1149969300410155
1382,华润置地广场一期 ,https://cs.lianjia.com/ershoufang/104108650551.html,未知年建/塔楼,长沙县,89.5万,10264元/平米,3室2厅1厨1卫,高楼层 (共34层),87.2㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-13,商品房,2017-05-15,普通住宅,满五年,非共有,有抵押 30万元,已上传房本照片
1383,英郡年华 ,https://cs.lianjia.com/ershoufang/104108679670.html,2012年建/板塔结合,雨花,90万,10712元/平米,2室1厅1厨1卫,中楼层 (共18层),84.02㎡,平层,69.24㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-18,商品房,2017-04-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1151506360410158
1384,奥克斯中央公馆 ,https://cs.lianjia.com/ershoufang/104108645923.html,2013年建/板塔结合,岳麓,143万,13298元/平米,3室2厅1厨2卫,中楼层 (共33层),107.54㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2022-05-13,商品房,2015-07-10,普通住宅,满五年,非共有,有抵押 20万元 建设 业主自还,已上传房本照片,1148812570401105
1385,时代倾城 ,https://cs.lianjia.com/ershoufang/104108660227.html,2018年建/板塔结合,望城,92万,10534元/平米,2室2厅1厨1卫,高楼层 (共34层),87.34㎡,平层,70.1㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-15,商品房,2018-10-30,普通住宅,暂无数据,共有,有抵押 工商银行 业主自还,已上传房本照片
1386,半山壹号 ,https://cs.lianjia.com/ershoufang/104108687342.html,2017年建/板塔结合,雨花,120万,13470元/平米,2室2厅1厨1卫,低楼层 (共34层),89.09㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯八户,有,2022-05-19,商品房,2018-07-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1150180960461340
1387,荣盛花语馨苑 ,https://cs.lianjia.com/ershoufang/104108680158.html,2014年建/塔楼,岳麓,69万,10218元/平米,2室1厅1厨1卫,高楼层 (共33层),67.53㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-18,商品房,2018-04-10,普通住宅,暂无数据,非共有,有抵押 15万元,已上传房本照片,1084760160452056
1388,先锋东外滩 ,https://cs.lianjia.com/ershoufang/104108673784.html,2011年建/板塔结合,芙蓉,88万,9761元/平米,2室2厅1厨1卫,中楼层 (共34层),90.16㎡,平层,72.12㎡,板塔结合,南 东,钢混结构,精装,六梯三十户,有,2022-05-17,商品房,2012-03-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,1151079930411142
1389,橘郡礼顿山 ,https://cs.lianjia.com/ershoufang/104108633975.html,2016年建/板塔结合,天心,83万,8370元/平米,3室2厅1厨2卫,高楼层 (共16层),99.17㎡,复式,暂无数据,板塔结合,南,混合结构,毛坯,一梯三十八户,暂无数据,2022-05-11,商品房,2022-01-20,普通住宅,未满两年,非共有,有抵押 20万元,已上传房本照片,1150269750491165
1390,润和紫郡 ,https://cs.lianjia.com/ershoufang/104108679284.html,未知年建/塔楼,望城,92.8万,10536元/平米,3室2厅1厨1卫,低楼层 (共33层),88.08㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯六户,有,2022-05-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
1391,崇文阁 ,https://cs.lianjia.com/ershoufang/104108676424.html,2013年建/板楼,芙蓉,147万,10209元/平米,4室2厅1厨2卫,高楼层 (共32层),144㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,2022-05-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1141779600490676
1392,万科金域蓝湾三期 ,https://cs.lianjia.com/ershoufang/104108637019.html,未知年建/塔楼,芙蓉,220万,16297元/平米,4室2厅1厨2卫,高楼层 (共34层),135㎡,平层,暂无数据,塔楼,西,钢混结构,精装,两梯五户,有,2022-05-11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元 客户偿还,未上传房本照片,1148436800410386
1393,梅溪正荣府 ,https://cs.lianjia.com/ershoufang/104108613589.html,未知年建/暂无数据,岳麓,226万,17532元/平米,5室2厅1厨2卫,低楼层 (共11层),128.91㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,一梯一户,暂无数据,2022-05-07,商品房,2022-01-02,普通住宅,未满两年,非共有,有抵押 80万元,已上传房本照片,1147926670443112
1394,江河东澜湾 ,https://cs.lianjia.com/ershoufang/104108630353.html,2015年建/板塔结合,雨花,168万,14730元/平米,3室2厅1厨2卫,高楼层 (共33层),114.06㎡,平层,91㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,2022-05-10,商品房,2022-05-11,普通住宅,未满两年,非共有,有抵押 90万元 长沙银行 客户偿还,已上传房本照片,1078717230433345
1395,鑫远御文台 ,https://cs.lianjia.com/ershoufang/104108691518.html,2015年建/板塔结合,天心,164万,12396元/平米,4室2厅1厨2卫,高楼层 (共31层),132.31㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2022-05-20,商品房,2017-09-08,普通住宅,暂无数据,非共有,有抵押 35万元 客户偿还,已上传房本照片,1153634460450259
1396,富基世纪公园二期 ,https://cs.lianjia.com/ershoufang/104108641314.html,2013年建/板塔结合,望城,71.9万,8171元/平米,3室2厅1厨1卫,中楼层 (共32层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2022-05-12,商品房,2022-05-21,普通住宅,未满两年,非共有,有抵押 20万元,已上传房本照片
1397,星城世家 ,https://cs.lianjia.com/ershoufang/104108614190.html,2007年建/板楼,雨花,223万,15677元/平米,4室2厅1厨2卫,高楼层 (共9层),142.25㎡,平层,124.07㎡,板楼,南 北,钢混结构,精装,一梯两户,有,2022-05-07,商品房,2021-07-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,1017686540421039
1398,凯特梅溪紫郡 ,https://cs.lianjia.com/ershoufang/104108688506.html,未知年建/板塔结合,岳麓,106.8万,11906元/平米,3室2厅1厨1卫,中楼层 (共34层),89.71㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-05-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 13万元 13 业主自还,未上传房本照片,1057881290421446
1399,润和紫郡 ,https://cs.lianjia.com/ershoufang/104108659605.html,2013年建/塔楼,望城,89.8万,9656元/平米,3室2厅1厨1卫,高楼层 (共33层),93㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 建设 客户偿还,未上传房本照片
1400,狮子山一片小区 ,https://cs.lianjia.com/ershoufang/104108689455.html,未知年建/板楼,雨花,36万,4495元/平米,2室2厅1厨1卫,高楼层 (共7层),80.09㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯一户,暂无数据,2022-05-20,商品房,2022-05-21,普通住宅,未满两年,非共有,有抵押 30万元,已上传房本照片,1152561140471572
1401,广泰锦苑 ,https://cs.lianjia.com/ershoufang/104108676482.html,2016年建/塔楼,岳麓,105万,11640元/平米,3室2厅1厨1卫,中楼层 (共34层),90.21㎡,平层,72.11㎡,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-18,商品房,2021-08-26,普通住宅,未满两年,共有,无抵押,已上传房本照片,1125423750451070
1402,阳光100国际新城三期 ,https://cs.lianjia.com/ershoufang/104108674613.html,2009年建/板楼,岳麓,125万,11425元/平米,3室2厅1厨2卫,低楼层 (共17层),109.41㎡,平层,87.03㎡,板楼,南 北,钢混结构,精装,两梯两户,有,2022-05-18,商品房,2022-05-20,普通住宅,未满两年,非共有,有抵押 45万元 中国银行 业主自还,已上传房本照片,1151769710490920
1403,山水誉峰 ,https://cs.lianjia.com/ershoufang/104108625965.html,2013年建/板楼,岳麓,182.8万,16040元/平米,3室2厅1厨1卫,低楼层 (共28层),113.97㎡,平层,92.49㎡,板楼,南,钢混结构,精装,两梯四户,有,2022-05-09,商品房,2022-05-10,普通住宅,未满两年,共有,有抵押 30万元,已上传房本照片,1148762750430948
1404,浩龙音乐界 ,https://cs.lianjia.com/ershoufang/104108672990.html,2012年建/板塔结合,望城,83万,8993元/平米,4室2厅1厨2卫,高楼层 (共32层),92.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元 业主自还,未上传房本照片
1405,佳兆业水岸新都东区 ,https://cs.lianjia.com/ershoufang/104108652360.html,未知年建/板楼,雨花,79万,7604元/平米,4室1厅1厨2卫,中楼层 (共34层),103.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-05-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1086730850400422
1406,新城国际花都二期 ,https://cs.lianjia.com/ershoufang/104108662947.html,2014年建/塔楼,望城,59.8万,7570元/平米,2室2厅1厨1卫,中楼层 (共34层),79㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
1407,青园 ,https://cs.lianjia.com/ershoufang/104108663135.html,2011年建/板塔结合,天心,175万,13461元/平米,3室1厅1厨2卫,中楼层 (共30层),130.01㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,2022-05-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1040529910471415
1408,省高速公路管理局宿舍 ,https://cs.lianjia.com/ershoufang/104108697093.html,未知年建/暂无数据,芙蓉,71万,8256元/平米,3室2厅1厨2卫,中楼层 (共7层),86㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯一户,暂无数据,2022-05-21,房改房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1081591560470676
1409,世茂铂翠湾 ,https://cs.lianjia.com/ershoufang/104108700116.html,未知年建/板楼,岳麓,185万,17593元/平米,3室2厅1厨1卫,中楼层 (共33层),105.16㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2022-05-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元,未上传房本照片,1052099340411105
1410,中信凯旋城 ,https://cs.lianjia.com/ershoufang/104108631163.html,2015年建/板塔结合,天心,108万,12077元/平米,3室2厅1厨1卫,低楼层 (共16层),89.43㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,暂无数据,2022-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 38万元 客户偿还,未上传房本照片,1085372830451656
1411,德泽苑 ,https://cs.lianjia.com/ershoufang/104106089636.html,未知年建/板楼,天心,108万,8659元/平米,3室2厅1厨2卫,高楼层 (共12层),124.73㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,有,2021-03-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1011693040431165
1412,都江新苑 ,https://cs.lianjia.com/ershoufang/104108251653.html,未知年建/板楼,天心,216.8万,11610元/平米,4室2厅1厨2卫,高楼层 (共17层),186.74㎡,复式,暂无数据,板楼,南 西南,钢混结构,简装,两梯两户,有,2022-03-11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元 业主自还,未上传房本照片,1065493160460605
1413,北辰三角洲C2区 ,https://cs.lianjia.com/ershoufang/104107457075.html,2014年建/板塔结合,开福,210万,15034元/平米,3室2厅1厨2卫,低楼层 (共55层),139.69㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2021-10-17,商品房,2020-11-05,普通住宅,未满两年,非共有,有抵押,已上传房本照片,1097198380452682
1414,保利天禧 ,https://cs.lianjia.com/ershoufang/104107520948.html,未知年建/暂无数据,岳麓,260万,19100元/平米,4室2厅1厨2卫,中楼层 (共46层),136.13㎡,平层,暂无数据,暂无数据,西 西南,未知结构,毛坯,两梯四户,有,2021-10-27,商品房,2021-07-12,普通住宅,未满两年,非共有,无抵押,已上传房本照片,1086676760441689
1415,银桂苑 ,https://cs.lianjia.com/ershoufang/104108414546.html,2010年建/板楼,天心,155万,9987元/平米,4室2厅1厨2卫,高楼层 (共9层),155.21㎡,平层,138.09㎡,板楼,北 南,钢混结构,简装,一梯两户,有,2022-04-04,商品房,2022-05-22,普通住宅,未满两年,共有,无抵押,已上传房本照片,1152508150400202
1416,大唐印象 ,https://cs.lianjia.com/ershoufang/104108455722.html,2015年建/板楼,天心,204.9万,11394元/平米,5室2厅1厨2卫,中楼层 (共10层),179.82㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,2022-04-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元 浦发银行 业主自还,未上传房本照片,1138404150451656
1417,山水英伦庄园 ,https://cs.lianjia.com/ershoufang/104108169969.html,未知年建/暂无数据,岳麓,360万,10905元/平米,6室3厅2厨3卫,低楼层 (共4层),330.13㎡,复式,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯一户,暂无数据,2022-03-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元 客户偿还,未上传房本照片,1123042810421575
1418,湘府名邸 ,https://cs.lianjia.com/ershoufang/104107590161.html,2008年建/板楼,雨花,160万,10066元/平米,4室2厅1厨2卫,高楼层 (共18层),158.96㎡,平层,139.39㎡,板楼,南 北,钢混结构,精装,两梯三户,有,2021-11-08,商品房,2021-11-10,普通住宅,未满两年,非共有,无抵押,已上传房本照片,1039811310431570
1419,通用时代国际社区 ,https://cs.lianjia.com/ershoufang/104108561308.html,2014年建/板塔结合,天心,275万,15968元/平米,5室2厅1厨2卫,中楼层 (共29层),172.23㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,2022-04-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1145602150421418
1420,中航山水蓝天 ,https://cs.lianjia.com/ershoufang/104108435152.html,未知年建/板楼,望城,110万,6414元/平米,9室2厅1厨2卫,高楼层 (共11层),171.52㎡,复式,暂无数据,板楼,北 南,钢混结构,精装,一梯两户,暂无数据,2022-04-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 业主自还,未上传房本照片
1421,北辰三角洲奥城E3区 ,https://cs.lianjia.com/ershoufang/104108723181.html,2013年建/板塔结合,开福,73.8万,14149元/平米,1室1厅1厨1卫,中楼层 (共48层),52.16㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,六梯十八户,有,2022-05-25,商品房,2017-10-26,普通住宅,暂无数据,共有,有抵押 21万元 招商银行,已上传房本照片,1149612710400886
1422,橘郡礼顿山 ,https://cs.lianjia.com/ershoufang/104108235594.html,未知年建/暂无数据,天心,228万,9012元/平米,5室2厅1厨3卫,中楼层 (共5层),253㎡,复式,暂无数据,暂无数据,东南 南,未知结构,毛坯,一梯两户,暂无数据,2022-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1130416890461165
1423,湘天贡院3期 ,https://cs.lianjia.com/ershoufang/104107706306.html,未知年建/板楼,雨花,138.8万,12925元/平米,4室2厅1厨2卫,中楼层 (共17层),107.39㎡,复式,81.43㎡,板楼,南,砖混结构,精装,一梯三户,暂无数据,2021-11-27,商品房,2022-02-20,普通住宅,未满两年,非共有,有抵押 35万元,已上传房本照片,1104366610491078
1424,恒大雅苑 ,https://cs.lianjia.com/ershoufang/104107024096.html,未知年建/板塔结合,开福,110万,10935元/平米,3室2厅1厨2卫,中楼层 (共26层),100.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-08-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1045135200490476
1425,楚天逸品 ,https://cs.lianjia.com/ershoufang/104108553466.html,2015年建/板楼,开福,206万,12855元/平米,4室2厅1厨3卫,低楼层 (共32层),160.25㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯三户,有,2022-04-26,商品房,2022-04-14,普通住宅,未满两年,共有,无抵押,已上传房本照片,1145056320421581
1426,北辰三角洲奥城D3区 ,https://cs.lianjia.com/ershoufang/104107003507.html,2013年建/板塔结合,开福,219万,18133元/平米,4室2厅1厨2卫,高楼层 (共39层),120.78㎡,平层,94.53㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2021-08-05,商品房,2021-08-22,普通住宅,未满两年,非共有,无抵押,已上传房本照片,1002998460462682
1427,恒生碧水龙庭 ,https://cs.lianjia.com/ershoufang/104106473669.html,2012年建/板塔结合,雨花,139万,10484元/平米,3室2厅1厨2卫,中楼层 (共32层),132.59㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,2021-05-16,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,1049434290491066
1428,东玺门 ,https://cs.lianjia.com/ershoufang/104107744212.html,2010年建/板塔结合,芙蓉,70万,11636元/平米,2室1厅1厨1卫,中楼层 (共33层),60.16㎡,平层,49.22㎡,板塔结合,南,钢混结构,精装,三梯六户,有,2021-12-03,商品房,2017-06-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1015768240430956
1429,桔园小区 ,https://cs.lianjia.com/ershoufang/104107750643.html,未知年建/板楼,雨花,42万,7000元/平米,2室2厅1厨1卫,中楼层 (共6层),60㎡,平层,54.44㎡,板楼,南,砖混结构,简装,一梯两户,无,2021-12-04,商品房,2012-02-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1112159850440415
1430,恒大翡翠华庭 ,https://cs.lianjia.com/ershoufang/104108480978.html,2015年建/塔楼,长沙县,79.8万,9127元/平米,2室2厅1厨1卫,低楼层 (共30层),87.44㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-04-14,商品房,2016-12-16,普通住宅,满五年,非共有,有抵押 50万元 客户偿还,已上传房本照片
1431,卓越浅水湾 ,https://cs.lianjia.com/ershoufang/104106698863.html,2014年建/板塔结合,岳麓,148万,15708元/平米,3室2厅1厨1卫,低楼层 (共33层),94.22㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2021-06-18,商品房,2015-04-20,普通住宅,满五年,共有,有抵押 35万元 工商银行 业主自还,已上传房本照片,1035736600413040
1432,万科里金域滨江 ,https://cs.lianjia.com/ershoufang/104108433107.html,2015年建/塔楼,岳麓,226万,21124元/平米,3室2厅1厨2卫,高楼层 (共34层),106.99㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-04-07,商品房,2018-04-07,普通住宅,暂无数据,非共有,有抵押 45万元 业主自还,已上传房本照片,1139908270431546
1433,阳光晶城 ,https://cs.lianjia.com/ershoufang/104107909386.html,2011年建/板塔结合,岳麓,83万,9845元/平米,2室2厅1厨1卫,中楼层 (共18层),84.31㎡,平层,72.48㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-01-04,商品房,2013-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1114053500491113
1434,丽都桃源 ,https://cs.lianjia.com/ershoufang/104108262396.html,未知年建/板塔结合,岳麓,76万,9129元/平米,2室2厅1厨1卫,高楼层 (共18层),83.26㎡,平层,71.34㎡,板塔结合,南,钢混结构,精装,两梯五户,有,2022-03-13,商品房,2014-03-11,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片,1132177570441582
1435,雅雀湖小区 ,https://cs.lianjia.com/ershoufang/104107105684.html,2003年建/板楼,开福,52万,8099元/平米,2室2厅1厨1卫,低楼层 (共8层),64.21㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2021-08-24,商品房,2006-09-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,1068027880490795
1436,华银天际二期B区 ,https://cs.lianjia.com/ershoufang/104104097500.html,未知年建/板塔结合,雨花,78万,8961元/平米,2室2厅1厨1卫,中楼层 (共17层),87.05㎡,平层,72.25㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,2020-05-12,商品房,2014-09-24,普通住宅,满五年,共有,无抵押,已上传房本照片,1049788390410519
1437,合能璞丽 ,https://cs.lianjia.com/ershoufang/104108135869.html,2014年建/板塔结合,岳麓,182.9万,19718元/平米,3室2厅1厨2卫,中楼层 (共34层),92.76㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-02-24,商品房,2018-01-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1096841000421539
1438,识字里 ,https://cs.lianjia.com/ershoufang/104107647376.html,未知年建/暂无数据,芙蓉,54.8万,9347元/平米,2室1厅1厨1卫,中楼层 (共6层),58.63㎡,平层,58㎡,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2021-11-17,房改房,1988-11-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1006487810421068
1439,海华嘉园 ,https://cs.lianjia.com/ershoufang/104107706385.html,2005年建/板楼,雨花,49万,7872元/平米,2室1厅1厨1卫,低楼层 (共10层),62.25㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-11-27,商品房,2002-11-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1008396120400890
1440,维一星城原山苑 ,https://cs.lianjia.com/ershoufang/104107867942.html,2014年建/板塔结合,开福,74万,9054元/平米,3室2厅1厨1卫,高楼层 (共33层),81.74㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2021-12-26,商品房,2017-06-13,普通住宅,暂无数据,非共有,有抵押 25万元 工商银行 业主自还,已上传房本照片,1044881780410910
1441,四季星城二期 ,https://cs.lianjia.com/ershoufang/104107588768.html,2014年建/板塔结合,长沙县,63.8万,7316元/平米,2室1厅1厨1卫,低楼层 (共23层),87.21㎡,平层,66.08㎡,板塔结合,南,钢混结构,精装,一梯三户,暂无数据,2021-11-08,商品房,2014-09-24,普通住宅,满五年,非共有,有抵押 25万元,已上传房本照片
1442,五矿万境水岸二期 ,https://cs.lianjia.com/ershoufang/104107929934.html,2015年建/板塔结合,雨花,126万,14320元/平米,2室2厅1厨1卫,低楼层 (共33层),87.99㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-01-08,商品房,2017-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1114764760440599
1443,阳光晶城 ,https://cs.lianjia.com/ershoufang/104107909386.html,2011年建/板塔结合,岳麓,83万,9845元/平米,2室2厅1厨1卫,中楼层 (共18层),84.31㎡,平层,72.48㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-01-04,商品房,2013-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1114053500491113
1444,丽都桃源 ,https://cs.lianjia.com/ershoufang/104108262396.html,未知年建/板塔结合,岳麓,76万,9129元/平米,2室2厅1厨1卫,高楼层 (共18层),83.26㎡,平层,71.34㎡,板塔结合,南,钢混结构,精装,两梯五户,有,2022-03-13,商品房,2014-03-11,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片,1132177570441582
1445,涂新小区 ,https://cs.lianjia.com/ershoufang/104105783669.html,2005年建/板楼,天心,39万,6229元/平米,2室2厅1厨1卫,高楼层 (共7层),62.62㎡,平层,55.16㎡,板楼,南,砖混结构,简装,一梯两户,无,2021-01-25,商品房,2005-05-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1006927270491011
